url,label,base_brand
https://www.paypal.com/,0,paypal
https://paypal.com/login,0,paypal
https://support.paypal.com/,0,paypal
https://www.paypàl.com/login,1,paypal
https://www.paýpal.com/login,1,paypal
https://www.paÿpal.com/login,1,paypal
https://www.päypal.com/login,1,paypal
https://www.paýpal.com/login,1,paypal
https://payal.net/secure,1,paypal
https://payal.net/secure,1,paypal
https://payppal.net/secure,1,paypal
https://payppal.net/secure,1,paypal
https://p-aypal.net/secure,1,paypal
https://www.microsoft.com/,0,microsoft
https://microsoft.com/login,0,microsoft
https://support.microsoft.com/,0,microsoft
https://www.microsóft.com/login,1,microsoft
https://www.m1crosoft.com/login,1,microsoft
https://www.mićrosoft.com/login,1,microsoft
https://www.microsóft.com/login,1,microsoft
https://www.microsòft.com/login,1,microsoft
https://m-icrosoft.net/secure,1,microsoft
https://microsoftt.net/secure,1,microsoft
https://microso-ft.net/secure,1,microsoft
https://microoft.net/secure,1,microsoft
https://microosoft.net/secure,1,microsoft
https://www.apple.com/,0,apple
https://apple.com/login,0,apple
https://support.apple.com/,0,apple
https://www.ąpple.com/login,1,apple
https://www.âpple.com/login,1,apple
https://www.appIe.com/login,1,apple
https://www.ąpple.com/login,1,apple
https://www.äpple.com/login,1,apple
https://applee.net/secure,1,apple
https://aple.net/secure,1,apple
https://aple.net/secure,1,apple
https://appl-e.net/secure,1,apple
https://appple.net/secure,1,apple
https://www.google.com/,0,google
https://google.com/login,0,google
https://support.google.com/,0,google
https://www.googIe.com/login,1,google
https://www.gôogle.com/login,1,google
https://www.googIe.com/login,1,google
https://www.googlê.com/login,1,google
https://www.goog1e.com/login,1,google
https://gooogle.net/secure,1,google
https://googlee.net/secure,1,google
https://googl-e.net/secure,1,google
https://g-oogle.net/secure,1,google
https://googl-e.net/secure,1,google
https://www.amazon.com/,0,amazon
https://amazon.com/login,0,amazon
https://support.amazon.com/,0,amazon
https://www.amazôn.com/login,1,amazon
https://www.amązon.com/login,1,amazon
https://www.amązon.com/login,1,amazon
https://www.amàzon.com/login,1,amazon
https://www.amàzon.com/login,1,amazon
https://amazo-n.net/secure,1,amazon
https://amazn.net/secure,1,amazon
https://ammazon.net/secure,1,amazon
https://aazon.net/secure,1,amazon
https://am-azon.net/secure,1,amazon
https://www.facebook.com/,0,facebook
https://facebook.com/login,0,facebook
https://support.facebook.com/,0,facebook
https://www.faceböok.com/login,1,facebook
https://www.facebo0k.com/login,1,facebook
https://www.façebook.com/login,1,facebook
https://www.façebook.com/login,1,facebook
https://www.fácebook.com/login,1,facebook
https://faceebook.net/secure,1,facebook
https://faccebook.net/secure,1,facebook
https://faacebook.net/secure,1,facebook
https://faceboo-k.net/secure,1,facebook
https://faceboook.net/secure,1,facebook
